coverage_id	pool_id	peptide_id
coverage_1	pool_1	peptide_27
coverage_1	pool_1	peptide_57
coverage_1	pool_1	peptide_68
coverage_1	pool_1	peptide_99
coverage_1	pool_1	peptide_120
coverage_1	pool_2	peptide_45
coverage_1	pool_2	peptide_56
coverage_1	pool_2	peptide_60
coverage_1	pool_2	peptide_69
coverage_1	pool_2	peptide_102
coverage_1	pool_3	peptide_80
coverage_1	pool_3	peptide_116
coverage_1	pool_3	peptide_123
coverage_1	pool_3	peptide_125
coverage_1	pool_3	peptide_131
coverage_1	pool_4	peptide_28
coverage_1	pool_4	peptide_38
coverage_1	pool_4	peptide_40
coverage_1	pool_4	peptide_42
coverage_1	pool_4	peptide_128
coverage_1	pool_5	peptide_78
coverage_1	pool_5	peptide_85
coverage_1	pool_5	peptide_103
coverage_1	pool_5	peptide_114
coverage_1	pool_5	peptide_115
coverage_1	pool_6	peptide_16
coverage_1	pool_6	peptide_44
coverage_1	pool_6	peptide_46
coverage_1	pool_6	peptide_51
coverage_1	pool_6	peptide_87
coverage_1	pool_7	peptide_72
coverage_1	pool_7	peptide_74
coverage_1	pool_7	peptide_92
coverage_1	pool_7	peptide_95
coverage_1	pool_7	peptide_140
coverage_1	pool_8	peptide_1
coverage_1	pool_8	peptide_5
coverage_1	pool_8	peptide_6
coverage_1	pool_8	peptide_7
coverage_1	pool_8	peptide_106
coverage_1	pool_9	peptide_13
coverage_1	pool_9	peptide_23
coverage_1	pool_9	peptide_25
coverage_1	pool_9	peptide_26
coverage_1	pool_9	peptide_32
coverage_1	pool_10	peptide_14
coverage_1	pool_10	peptide_48
coverage_1	pool_10	peptide_62
coverage_1	pool_10	peptide_64
coverage_1	pool_10	peptide_113
coverage_1	pool_11	peptide_35
coverage_1	pool_11	peptide_82
coverage_1	pool_11	peptide_110
coverage_1	pool_11	peptide_118
coverage_1	pool_11	peptide_129
coverage_1	pool_12	peptide_24
coverage_1	pool_12	peptide_30
coverage_1	pool_12	peptide_43
coverage_1	pool_12	peptide_52
coverage_1	pool_12	peptide_84
coverage_1	pool_13	peptide_21
coverage_1	pool_13	peptide_33
coverage_1	pool_13	peptide_88
coverage_1	pool_13	peptide_96
coverage_1	pool_13	peptide_134
coverage_1	pool_14	peptide_4
coverage_1	pool_14	peptide_55
